ticker,name,price,change_pct,market
006280,녹십자,122300.0,1.92,KOSPI
298020,효성티앤씨,330000.0,2.96,KOSPI
152100,PLUS 200,105995.0,4.04,KOSPI
181710,NHN,42800.0,-2.06,KOSPI
281820,케이씨텍,70700.0,0.71,KOSPI
009155,삼성전기우,472500.0,7.26,KOSPI
390390,KODEX 미국반도체,56290.0,4.57,KOSPI
315930,KODEX Top5PlusTR,79180.0,2.98,KOSPI
007810,코리아써키트,55400.0,14.94,KOSPI
012630,HDC,22200.0,5.71,KOSPI
007310,오뚜기,323500.0,0.31,KOSPI
436140,SOL 종합채권(AA-이상)액티브,106600.0,0.34,KOSPI
192080,더블유게임즈,60900.0,-0.98,KOSPI
700026,하나 CD금리투자 ETN,107400.0,0.0,KOSPI
082640,동양생명,8250.0,0.61,KOSPI
415640,KB발해인프라,10410.0,-2.53,KOSPI
232080,TIGER 코스닥150,13795.0,1.58,KOSPI
091230,TIGER 반도체,125000.0,4.06,KOSPI
003540,대신증권,26450.0,0.95,KOSPI
157450,TIGER 단기통안채,112335.0,0.01,KOSPI
448330,KODEX 삼성전자채권혼합,16995.0,0.56,KOSPI
438080,ACE 미국S&P500미국채혼합50액티브,14570.0,0.48,KOSPI
004000,롯데정밀화학,47000.0,2.51,KOSPI
006340,대원전선,15450.0,12.04,KOSPI
000815,삼성화재우,400000.0,2.04,KOSPI
017960,한국카본,23250.0,4.73,KOSPI
497570,TIGER 미국필라델피아AI반도체나스닥,22840.0,3.94,KOSPI
005070,코스모신소재,36000.0,5.11,KOSPI
0072R0,TIGER KRX금현물,12720.0,2.25,KOSPI
361610,SK아이이테크놀로지,13920.0,-1.76,KOSPI
077970,STX엔진,28100.0,15.16,KOSPI
0183J0,TIGER 미국우주테크,7730.0,4.67,KOSPI
030610,교보증권,9790.0,1.45,KOSPI
449450,PLUS K방산,55795.0,3.71,KOSPI
445290,KODEX 로봇액티브,31280.0,4.18,KOSPI
066575,LG전자우,63900.0,5.45,KOSPI
093370,후성,10230.0,5.46,KOSPI
494890,KODEX 200액티브,30075.0,4.07,KOSPI
479080,1Q 머니마켓액티브,53625.0,0.02,KOSPI
000210,DL,51200.0,-1.35,KOSPI
226490,KODEX 코스피,68060.0,4.35,KOSPI
000080,하이트진로,15050.0,-0.53,KOSPI
300720,한일시멘트,14230.0,1.57,KOSPI
